State,2019_pop,2020_pop,2021_pop
California,"39,512,223","39,538,223","39,237,836"
Texas,"28,995,881","29,145,505","29,527,941"
Florida,"21,477,737","21,538,187","21,781,128"
New York,"19,453,561","20,201,249","19,835,913"
Tennessee,"6,829,174","6,910,840","6,975,218"
