,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,
State ,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul
California,541734,540860,540689,541412,542452,543337,543299,543715,544780,546713,548143,550160,552721,556649,561177,564566,564465,563398,565639,572290,580794,589012,596581,603433,609605,616633,624408,634596,648775,665848,684277
Florida,242864,243677,244238,244732,245156,245650,246186,246563,246866,247309,248020,248737,249774,251083,252642,254087,255273,256174,256958,258505,260607,263139,265736,268438,271587,274719,278423,282426,287854,294699,302639
New York,306208,307296,308527,309502,310347,310838,311151,311327,311418,311573,311984,312692,313646,314735,315723,316656,317118,317655,318763,320614,323306,326694,330422,334088,337421,340754,344016,347252,351362,356336,362009
Tennessee,189360,190324,191297,192141,193000,193727,194317,194953,195709,196594,197594,198596,199645,200955,202448,203957,205260,206521,207741,209033,210492,212259,214563,217073,220288,223268,226343,229261,232829,237147,242076
Texas,209975,211058,211792,212233,212653,213134,213643,214279,215056,215506,215893,216103,216706,217248,218029,218709,219287,219855,220665,222061,223988,226248,228520,230701,232976,235763,238725,242387,246734,252187,257859
