state_name,jan19,feb19,mar19,apr19,may19,jun19,jul19,aug19,sep19,oct19,nov19,dec19,jan20,feb20,mar20,apr20,may20,jun20,jul20,aug20,sep20,oct20,nov20,dec20,jan21,feb21,mar21,apr21,may21,jun21,jul21
california,541734,540860,540689,541412,542452,543337,543299,543715,544780,546713,548143,550160,552721,556649,561177,564566,564465,563398,565639,572290,580794,589012,596581,603433,609605,616633,624408,634596,648775,665848,684277
florida,242864,243677,244238,244732,245156,245650,246186,246563,246866,247309,248020,248737,249774,251083,252642,254087,255273,256174,256958,258505,260607,263139,265736,268438,271587,274719,278423,282426,287854,294699,302639
new york,306208,307296,308527,309502,310347,310838,311151,311327,311418,311573,311984,312692,313646,314735,315723,316656,317118,317655,318763,320614,323306,326694,330422,334088,337421,340754,344016,347252,351362,356336,362009
tennessee,189360,190324,191297,192141,193000,193727,194317,194953,195709,196594,197594,198596,199645,200955,202448,203957,205260,206521,207741,209033,210492,212259,214563,217073,220288,223268,226343,229261,232829,237147,242076
texas,209975,211058,211792,212233,212653,213134,213643,214279,215056,215506,215893,216103,216706,217248,218029,218709,219287,219855,220665,222061,223988,226248,228520,230701,232976,235763,238725,242387,246734,252187,257859
