city,population_2019,population_2020,population_2021,Sources
Brooklyn,"2,559,903","2,736,074","2,641,052",NYC 2020 census-  https://popfactfinder.planning.nyc.gov/#8.76/40.6297/-74.2881
Bronx,"1,418,207","1,472,654","1,424,948",NYC 2019- https://www1.nyc.gov/assets/planning/download/pdf/planning-level/nyc-population/new-population/current-populatiion-estimattes.pdf
Staten Island ,"476,143","495,747","493,494",NYC 2021- http://www.citypopulation.de/en/usa/newyorkcity/
Queens,"2,253,858","2,405,464","2,331,143",Yonkers 19-21- https://www.populationu.com/cities/yonkers-ny-population
Yonkers,"200,370","211,569","212,521",
