state,population_2019,status,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
New York,19453561,for_sale,339000,4,5,0.51,New Lebanon,12125,3133,9/11/2019
New York,19453561,for_sale,625000,4,2,5.2,Copake Falls,12517,2029,10/23/2019
New York,19453561,for_sale,590000,3,3,7.54,Hillsdale,12529,2450,10/10/2019
New York,19453561,for_sale,280000,5,4,2,Kinderhook,12184,2000,2/22/2019
New York,19453561,for_sale,549000,4,3,2.1,Poestenkill,12018,5127,8/27/2019
New York,19453561,for_sale,365000,3,2,1,Millerton,12546,2710,1/23/2019
New York,19453561,for_sale,264900,3,2,4.25,Sand Lake,12018,1080,2/13/2019
New York,19453561,for_sale,339000,4,5,0.51,New Lebanon,12125,3133,9/11/2019
New York,19453561,for_sale,625000,4,2,5.2,Copake Falls,12517,2029,10/23/2019
New York,19453561,for_sale,349900,3,2,0.61,Sand Lake,12018,1680,3/8/2019
New York,19453561,for_sale,349900,3,2,3.9,Canaan,12029,2100,11/22/2019
New York,19453561,for_sale,199000,4,1,0.61,Hoosick Falls,12090,1695,9/27/2019
New York,19453561,for_sale,1300000,5,4,8.95,Old Chatham,12136,4278,4/1/2019
New York,19453561,for_sale,349900,3,2,1,Austerlitz,12037,2160,12/3/2019
New York,19453561,for_sale,1200000,3,4,8.64,Old Chatham,12136,2600,9/25/2019
New York,19453561,for_sale,349900,3,2,3.9,Canaan,12029,2100,11/22/2019
New York,19453561,for_sale,339000,4,5,0.51,New Lebanon,12125,3133,9/11/2019
New York,19453561,for_sale,590000,3,3,7.54,Hillsdale,12529,2450,10/10/2019
New York,19453561,for_sale,365000,3,2,1,Millerton,12546,2710,1/23/2019
New York,19453561,for_sale,625000,4,2,5.2,Copake Falls,12517,2029,10/23/2019
New York,19453561,for_sale,1200000,3,4,8.64,Old Chatham,12136,2600,9/25/2019
New York,19453561,for_sale,1200000,3,4,8.64,Old Chatham,12136,2600,9/25/2019
