state,population_2021,status,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
New York,19835913,for_sale,425000,3,2,2.02,Claverack,12521,1600,11/24/2021
New York,19835913,for_sale,425000,3,2,2.02,Claverack,12521,1600,11/24/2021
New York,19835913,for_sale,312000,4,2,0.45,Ghent,12075,4520,6/24/2021
New York,19835913,for_sale,229900,2,1,2.39,Claverack,12513,720,3/24/2021
New York,19835913,for_sale,395000,3,2,5,Chatham,12136,2042,2/8/2021
New York,19835913,for_sale,199000,3,2,0.24,Hoosick Falls,12090,1800,4/2/2021
New York,19835913,for_sale,700000,4,2,99,Nassau,12123,2368,6/28/2021
New York,19835913,for_sale,215000,2,1,2.67,Hoosick Falls,12090,1216,7/2/2021
New York,19835913,for_sale,450000,4,3,12.53,Stephentown,12168,2400,6/22/2021
New York,19835913,for_sale,425000,3,2,2.02,Claverack,12521,1600,11/24/2021
New York,19835913,for_sale,425000,3,2,2.02,Claverack,12521,1600,11/24/2021
New York,19835913,for_sale,395000,3,2,5,Chatham,12136,2042,2/8/2021
New York,19835913,for_sale,312000,4,2,0.45,Ghent,12075,4520,6/24/2021
New York,19835913,for_sale,229900,2,1,2.39,Claverack,12513,720,3/24/2021
New York,19835913,for_sale,395000,3,2,5,Chatham,12136,2042,2/8/2021
New York,19835913,for_sale,799000,1,2,3.08,Red Hook,12571,1200,5/17/2021
New York,19835913,for_sale,420000,4,3,1.52,Millbrook,12545,2080,3/24/2021
New York,19835913,for_sale,312000,4,2,0.45,Ghent,12075,4520,6/24/2021
New York,19835913,for_sale,229900,2,1,2.39,Claverack,12513,720,3/24/2021
New York,19835913,for_sale,395000,3,2,5,Chatham,12136,2042,2/8/2021
New York,19835913,for_sale,2395000,3,2,0.58,Montauk,11954,1500,3/20/2021
New York,19835913,for_sale,7500000,4,4,0.83,Montauk,11954,3500,7/21/2021
New York,19835913,for_sale,3700000,2,2,0.86,Montauk,11954,1680,3/31/2021
New York,19835913,for_sale,2395000,3,2,0.58,Montauk,11954,1500,3/20/2021
New York,19835913,for_sale,7500000,4,4,0.83,Montauk,11954,3500,7/21/2021
New York,19835913,for_sale,3700000,2,2,0.86,Montauk,11954,1680,3/31/2021
New York,19835913,for_sale,325000,4,3,1.97,Cambridge,12816,1760,9/8/2021
New York,19835913,for_sale,325000,4,3,1.97,Cambridge,12816,1760,9/8/2021
New York,19835913,for_sale,450000,4,3,12.53,Stephentown,12168,2400,6/22/2021
New York,19835913,for_sale,215000,2,1,2.67,Hoosick Falls,12090,1216,7/2/2021
New York,19835913,for_sale,199000,3,2,0.24,Hoosick Falls,12090,1800,4/2/2021
New York,19835913,for_sale,244900,3,1,1.13,Valley Falls,12185,1006,9/30/2021
New York,19835913,for_sale,244900,4,3,0.8,Granville,12832,2106,9/20/2021
New York,19835913,for_sale,395000,3,2,5,Chatham,12136,2042,2/8/2021
New York,19835913,for_sale,199000,3,2,0.24,Hoosick Falls,12090,1800,4/2/2021
New York,19835913,for_sale,149900,3,1,0.39,Whitehall,12887,1411,3/12/2021
New York,19835913,for_sale,249000,5,2,2.12,Argyle,12828,2443,12/22/2021
New York,19835913,for_sale,215000,2,1,2.67,Hoosick Falls,12090,1216,7/2/2021
New York,19835913,for_sale,205000,5,2,0.39,Granville Village,12832,1909,8/19/2021
New York,19835913,for_sale,325000,4,3,1.97,Cambridge,12816,1760,9/8/2021
New York,19835913,for_sale,450000,4,3,12.53,Stephentown,12168,2400,6/22/2021
New York,19835913,for_sale,199000,3,2,0.24,Hoosick Falls,12090,1800,4/2/2021
New York,19835913,for_sale,450000,4,3,12.53,Stephentown,12168,2400,6/22/2021
New York,19835913,for_sale,199000,3,2,0.24,Hoosick Falls,12090,1800,4/2/2021
New York,19835913,for_sale,215000,2,1,2.67,Hoosick Falls,12090,1216,7/2/2021
New York,19835913,for_sale,325000,4,3,1.97,Cambridge,12816,1760,9/8/2021
New York,19835913,for_sale,219000,3,3,3.2,Essex,12936,2160,5/12/2021
New York,19835913,for_sale,224900,3,2,0.16,Plattsburgh,12901,1539,7/14/2021
New York,19835913,for_sale,219000,3,3,3.2,Essex,12936,2160,5/12/2021
New York,19835913,for_sale,195000,3,2,0.12,Plattsburgh,12901,1432,10/13/2021
New York,19835913,for_sale,98000,3,2,0.3,Port Henry,12974,1359,7/7/2021
New York,19835913,for_sale,219000,3,3,3.2,Essex,12936,2160,5/12/2021
New York,19835913,for_sale,219000,3,3,3.2,Essex,12936,2160,5/12/2021
New York,19835913,for_sale,98000,3,2,0.3,Port Henry,12974,1359,7/7/2021
New York,19835913,for_sale,219000,3,3,3.2,Essex,12936,2160,5/12/2021
New York,19835913,for_sale,385000,14,5,0.29,Plattsburgh,12901,3658,11/3/2021
New York,19835913,for_sale,152900,4,2,0.4,Ticonderoga,12883,2030,1/14/2021
New York,19835913,for_sale,224900,3,2,0.16,Plattsburgh,12901,1539,7/14/2021
New York,19835913,for_sale,319000,3,3,1.13,Plattsburgh,12901,2500,6/29/2021
New York,19835913,for_sale,99000,3,1,0.08,Chazy,12921,1381,2/11/2021
New York,19835913,for_sale,195000,3,2,0.12,Plattsburgh,12901,1432,10/13/2021
New York,19835913,for_sale,165000,3,2,0.2,Ticonderoga,12883,1512,1/25/2021
New York,19835913,for_sale,224900,3,2,0.16,Plattsburgh,12901,1539,7/14/2021
New York,19835913,for_sale,89900,4,2,0.34,Keeseville,12944,1946,1/22/2021
New York,19835913,for_sale,449000,4,4,0.33,Plattsburgh,12901,4465,9/10/2021
New York,19835913,for_sale,98000,3,2,0.3,Port Henry,12974,1359,7/7/2021
New York,19835913,for_sale,249000,5,2,2.12,Argyle,12828,2443,12/22/2021
